"l1_coeff" "l2_coeff" "optimizer" "lr" "beta_1" "beta_2" "Mean_acc"
"1" 0,01 0,01 "adam" 0,001 0,93 0,995 0,5
"2" 0,001 0,01 "adam" 0,001 0,93 0,995 0,838124990463257
"3" 1e-04 0,01 "adam" 0,001 0,93 0,995 0,844999998807907
"4" 1e-05 0,01 "adam" 0,001 0,93 0,995 0,851250007748604
"5" 1e-06 0,01 "adam" 0,001 0,93 0,995 0,849062502384186
"6" 0 0,01 "adam" 0,001 0,93 0,995 0,843125000596046
"7" 0,01 0,001 "adam" 0,001 0,93 0,995 0,651874989271164
"8" 0,001 0,001 "adam" 0,001 0,93 0,995 0,845312505960464
"9" 1e-04 0,001 "adam" 0,001 0,93 0,995 0,842812493443489
"10" 1e-05 0,001 "adam" 0,001 0,93 0,995 0,843437492847443
"11" 1e-06 0,001 "adam" 0,001 0,93 0,995 0,840937495231628
"12" 0 0,001 "adam" 0,001 0,93 0,995 0,846875011920929
"13" 0,01 1e-04 "adam" 0,001 0,93 0,995 0,571250006556511
"14" 0,001 1e-04 "adam" 0,001 0,93 0,995 0,84781251847744
"15" 1e-04 1e-04 "adam" 0,001 0,93 0,995 0,841250002384186
"16" 1e-05 1e-04 "adam" 0,001 0,93 0,995 0,839687496423721
"17" 1e-06 1e-04 "adam" 0,001 0,93 0,995 0,844999998807907
"18" 0 1e-04 "adam" 0,001 0,93 0,995 0,839687496423721
"19" 0,01 1e-05 "adam" 0,001 0,93 0,995 0,730624988675117
"20" 0,001 1e-05 "adam" 0,001 0,93 0,995 0,844999998807907
"21" 1e-04 1e-05 "adam" 0,001 0,93 0,995 0,843125015497208
"22" 1e-05 1e-05 "adam" 0,001 0,93 0,995 0,837812498211861
"23" 1e-06 1e-05 "adam" 0,001 0,93 0,995 0,844374984502792
"24" 0 1e-05 "adam" 0,001 0,93 0,995 0,844062507152557
"25" 0,01 1e-06 "adam" 0,001 0,93 0,995 0,729062497615814
"26" 0,001 1e-06 "adam" 0,001 0,93 0,995 0,848124995827675
"27" 1e-04 1e-06 "adam" 0,001 0,93 0,995 0,846250012516975
"28" 1e-05 1e-06 "adam" 0,001 0,93 0,995 0,841875001788139
"29" 1e-06 1e-06 "adam" 0,001 0,93 0,995 0,831250011920929
"30" 0 1e-06 "adam" 0,001 0,93 0,995 0,844687506556511
"31" 0,01 0 "adam" 0,001 0,93 0,995 0,646874994039536
"32" 0,001 0 "adam" 0,001 0,93 0,995 0,84468749165535
"33" 1e-04 0 "adam" 0,001 0,93 0,995 0,839374989271164
"34" 1e-05 0 "adam" 0,001 0,93 0,995 0,841250002384186
"35" 1e-06 0 "adam" 0,001 0,93 0,995 0,841875001788139
"36" 0 0 "adam" 0,001 0,93 0,995 0,841562509536743
