"l1_coeff" "l2_coeff" "optimizer" "lr" "beta_1" "beta_2" "Mean_acc"
"1" 0,01 0,01 "nadam" 5e-04 0,9 0,995 0,574687495827675
"2" 0,001 0,01 "nadam" 5e-04 0,9 0,995 0,839687496423721
"3" 1e-04 0,01 "nadam" 5e-04 0,9 0,995 0,840312480926514
"4" 1e-05 0,01 "nadam" 5e-04 0,9 0,995 0,841250002384186
"5" 1e-06 0,01 "nadam" 5e-04 0,9 0,995 0,846562504768372
"6" 0 0,01 "nadam" 5e-04 0,9 0,995 0,844999998807907
"7" 0,01 0,001 "nadam" 5e-04 0,9 0,995 0,575937494635582
"8" 0,001 0,001 "nadam" 5e-04 0,9 0,995 0,842187508940697
"9" 1e-04 0,001 "nadam" 5e-04 0,9 0,995 0,846562504768372
"10" 1e-05 0,001 "nadam" 5e-04 0,9 0,995 0,836874976754189
"11" 1e-06 0,001 "nadam" 5e-04 0,9 0,995 0,845937505364418
"12" 0 0,001 "nadam" 5e-04 0,9 0,995 0,842187494039536
"13" 0,01 1e-04 "nadam" 5e-04 0,9 0,995 0,735937520861626
"14" 0,001 1e-04 "nadam" 5e-04 0,9 0,995 0,844687521457672
"15" 1e-04 1e-04 "nadam" 5e-04 0,9 0,995 0,852500006556511
"16" 1e-05 1e-04 "nadam" 5e-04 0,9 0,995 0,839687496423721
"17" 1e-06 1e-04 "nadam" 5e-04 0,9 0,995 0,845624998211861
"18" 0 1e-04 "nadam" 5e-04 0,9 0,995 0,84781251847744
"19" 0,01 1e-05 "nadam" 5e-04 0,9 0,995 0,812187492847443
"20" 0,001 1e-05 "nadam" 5e-04 0,9 0,995 0,844062477350235
"21" 1e-04 1e-05 "nadam" 5e-04 0,9 0,995 0,846249997615814
"22" 1e-05 1e-05 "nadam" 5e-04 0,9 0,995 0,849374994635582
"23" 1e-06 1e-05 "nadam" 5e-04 0,9 0,995 0,846875011920929
"24" 0 1e-05 "nadam" 5e-04 0,9 0,995 0,839375004172325
"25" 0,01 1e-06 "nadam" 5e-04 0,9 0,995 0,732187494635582
"26" 0,001 1e-06 "nadam" 5e-04 0,9 0,995 0,842500001192093
"27" 1e-04 1e-06 "nadam" 5e-04 0,9 0,995 0,838437482714653
"28" 1e-05 1e-06 "nadam" 5e-04 0,9 0,995 0,844687506556511
"29" 1e-06 1e-06 "nadam" 5e-04 0,9 0,995 0,839687496423721
"30" 0 1e-06 "nadam" 5e-04 0,9 0,995 0,840625002980232
"31" 0,01 0 "nadam" 5e-04 0,9 0,995 0,728437498211861
"32" 0,001 0 "nadam" 5e-04 0,9 0,995 0,843437492847443
"33" 1e-04 0 "nadam" 5e-04 0,9 0,995 0,839999973773956
"34" 1e-05 0 "nadam" 5e-04 0,9 0,995 0,845312505960464
"35" 1e-06 0 "nadam" 5e-04 0,9 0,995 0,845937505364418
"36" 0 0 "nadam" 5e-04 0,9 0,995 0,846249997615814
