"l1_coeff" "l2_coeff" "optimizer" "lr" "rho" "Mean_acc"
"1" 0,01 0,01 "rmsprop" 0,003 0,9 0,5
"2" 0,001 0,01 "rmsprop" 0,003 0,9 0,837812498211861
"3" 1e-04 0,01 "rmsprop" 0,003 0,9 0,838750004768372
"4" 1e-05 0,01 "rmsprop" 0,003 0,9 0,82906249165535
"5" 1e-06 0,01 "rmsprop" 0,003 0,9 0,841250002384186
"6" 0 0,01 "rmsprop" 0,003 0,9 0,840000003576279
"7" 0,01 0,001 "rmsprop" 0,003 0,9 0,731562495231628
"8" 0,001 0,001 "rmsprop" 0,003 0,9 0,83687499165535
"9" 1e-04 0,001 "rmsprop" 0,003 0,9 0,844374999403954
"10" 1e-05 0,001 "rmsprop" 0,003 0,9 0,84468749165535
"11" 1e-06 0,001 "rmsprop" 0,003 0,9 0,847812503576279
"12" 0 0,001 "rmsprop" 0,003 0,9 0,845312505960464
"13" 0,01 1e-04 "rmsprop" 0,003 0,9 0,656874999403954
"14" 0,001 1e-04 "rmsprop" 0,003 0,9 0,841249987483025
"15" 1e-04 1e-04 "rmsprop" 0,003 0,9 0,844999998807907
"16" 1e-05 1e-04 "rmsprop" 0,003 0,9 0,852500006556511
"17" 1e-06 1e-04 "rmsprop" 0,003 0,9 0,849687501788139
"18" 0 1e-04 "rmsprop" 0,003 0,9 0,847499996423721
"19" 0,01 1e-05 "rmsprop" 0,003 0,9 0,727187484502792
"20" 0,001 1e-05 "rmsprop" 0,003 0,9 0,846874997019768
"21" 1e-04 1e-05 "rmsprop" 0,003 0,9 0,844999998807907
"22" 1e-05 1e-05 "rmsprop" 0,003 0,9 0,849687486886978
"23" 1e-06 1e-05 "rmsprop" 0,003 0,9 0,844999998807907
"24" 0 1e-05 "rmsprop" 0,003 0,9 0,847500011324883
"25" 0,01 1e-06 "rmsprop" 0,003 0,9 0,808124989271164
"26" 0,001 1e-06 "rmsprop" 0,003 0,9 0,841249987483025
"27" 1e-04 1e-06 "rmsprop" 0,003 0,9 0,851250007748604
"28" 1e-05 1e-06 "rmsprop" 0,003 0,9 0,844062492251396
"29" 1e-06 1e-06 "rmsprop" 0,003 0,9 0,84375
"30" 0 1e-06 "rmsprop" 0,003 0,9 0,843125000596046
"31" 0,01 0 "rmsprop" 0,003 0,9 0,659687504172325
"32" 0,001 0 "rmsprop" 0,003 0,9 0,843124985694885
"33" 1e-04 0 "rmsprop" 0,003 0,9 0,844374999403954
"34" 1e-05 0 "rmsprop" 0,003 0,9 0,842812493443489
"35" 1e-06 0 "rmsprop" 0,003 0,9 0,844687506556511
"36" 0 0 "rmsprop" 0,003 0,9 0,848125010728836
