"l1_coeff" "l2_coeff" "optimizer" "lr" "momentum" "Mean_acc"
"1" 0,01 0,01 "sgd" 5e-04 0,9 0,690624997019768
"2" 0,001 0,01 "sgd" 5e-04 0,9 0,820937514305115
"3" 1e-04 0,01 "sgd" 5e-04 0,9 0,827812492847443
"4" 1e-05 0,01 "sgd" 5e-04 0,9 0,823750004172325
"5" 1e-06 0,01 "sgd" 5e-04 0,9 0,825625017285347
"6" 0 0,01 "sgd" 5e-04 0,9 0,819062501192093
"7" 0,01 0,001 "sgd" 5e-04 0,9 0,794062495231628
"8" 0,001 0,001 "sgd" 5e-04 0,9 0,828125
"9" 1e-04 0,001 "sgd" 5e-04 0,9 0,822812512516975
"10" 1e-05 0,001 "sgd" 5e-04 0,9 0,826875001192093
"11" 1e-06 0,001 "sgd" 5e-04 0,9 0,820625007152557
"12" 0 0,001 "sgd" 5e-04 0,9 0,822812512516975
"13" 0,01 1e-04 "sgd" 5e-04 0,9 0,790312498807907
"14" 0,001 1e-04 "sgd" 5e-04 0,9 0,822500005364418
"15" 1e-04 1e-04 "sgd" 5e-04 0,9 0,82312498986721
"16" 1e-05 1e-04 "sgd" 5e-04 0,9 0,823749989271164
"17" 1e-06 1e-04 "sgd" 5e-04 0,9 0,827500000596046
"18" 0 1e-04 "sgd" 5e-04 0,9 0,826562508940697
"19" 0,01 1e-05 "sgd" 5e-04 0,9 0,790937513113022
"20" 0,001 1e-05 "sgd" 5e-04 0,9 0,822187498211861
"21" 1e-04 1e-05 "sgd" 5e-04 0,9 0,822500005364418
"22" 1e-05 1e-05 "sgd" 5e-04 0,9 0,826875001192093
"23" 1e-06 1e-05 "sgd" 5e-04 0,9 0,818437501788139
"24" 0 1e-05 "sgd" 5e-04 0,9 0,825937509536743
"25" 0,01 1e-06 "sgd" 5e-04 0,9 0,794687509536743
"26" 0,001 1e-06 "sgd" 5e-04 0,9 0,825625002384186
"27" 1e-04 1e-06 "sgd" 5e-04 0,9 0,825625002384186
"28" 1e-05 1e-06 "sgd" 5e-04 0,9 0,829999983310699
"29" 1e-06 1e-06 "sgd" 5e-04 0,9 0,821562498807907
"30" 0 1e-06 "sgd" 5e-04 0,9 0,822812497615814
"31" 0,01 0 "sgd" 5e-04 0,9 0,780624985694885
"32" 0,001 0 "sgd" 5e-04 0,9 0,823437511920929
"33" 1e-04 0 "sgd" 5e-04 0,9 0,827499985694885
"34" 1e-05 0 "sgd" 5e-04 0,9 0,823437497019768
"35" 1e-06 0 "sgd" 5e-04 0,9 0,827500000596046
"36" 0 0 "sgd" 5e-04 0,9 0,832187488675117
